leagueId,tier,number
06f5d660-3967-11e9-a20d-c81f66cf2333,SILVER,165
06f686d0-2046-11e9-b995-c81f66cf2333,BRONZE,138
070072e0-22ac-11e9-a1e0-c81f66cf135e,BRONZE,52
07073300-33aa-11e9-8e2d-c81f66cf135e,BRONZE,131
07093f90-2006-11e9-beb2-c81f66cf135e,BRONZE,110
070a7000-042f-11ea-8808-7e195d005efe,BRONZE,13
071134a0-2e45-11e9-aa24-c81f66cf135e,GOLD,197
0714e560-87ae-11e9-8a0e-c81f66cf135e,GOLD,198
071b9330-7ffa-11e9-a1ee-c81f66dbb56c,DIAMOND,153
072770c0-92d7-11e9-8a0e-c81f66cf135e,SILVER,95
07277d30-218b-11e9-9efe-c81f66dbb56c,SILVER,167
072daec0-3d16-11e9-902d-c81f66cf2333,BRONZE,58
0731b9a0-233c-11e9-ae04-c81f66dbb56c,PLATINUM,197
073e3e10-26b0-11e9-a04d-c81f66dbb56c,BRONZE,102
073ed750-21ef-11e9-8e8e-c81f66cf135e,SILVER,165
0742cca0-20f7-11e9-a447-c81f66cf2333,SILVER,165
07444ff0-200a-11e9-97cd-c81f66cf135e,SILVER,162
0745fd50-cc53-11e9-8640-c81f66cf135e,GOLD,182
074d5bb0-ee52-11e9-9394-c81f66cf135e,SILVER,84
074e80d0-21c5-11e9-b502-c81f66cf2333,BRONZE,66
07539680-40a9-11e9-be5a-c81f66cf135e,SILVER,97
075771b0-0336-11ea-8ed2-f2c7606c6475,GOLD,102
075ceba0-d180-11e9-9542-c81f66cf2333,GOLD,196
07605100-23bb-11e9-828d-c81f66dbb56c,SILVER,176
07634dd0-2003-11e9-a5ff-c81f66dbb56c,GOLD,197
0765fd80-5e2b-11e9-9ac9-c81f66cf2333,SILVER,145
07664e70-20dc-11e9-9331-c81f66cf2333,SILVER,167
0771fb20-2335-11e9-ae04-c81f66dbb56c,SILVER,149
0779b8e0-91fa-11e9-bd4d-c81f66cf2333,GOLD,193
0779fe00-7782-11e9-b227-c81f66cf135e,SILVER,92
077a0c80-2037-11e9-a69a-c81f66dbb56c,SILVER,185
077bcfc0-ea62-11e9-a2e1-c81f66dbb56c,GOLD,110
077d6f70-3652-11e9-a20d-c81f66cf2333,GOLD,197
077e16e0-2005-11e9-9a46-c81f66dbb56c,GOLD,196
07828c60-2105-11e9-9704-c81f66cf135e,BRONZE,111
07a9bd40-2122-11e9-aa7f-c81f66cf2333,BRONZE,102
07aee610-8bcd-11e9-8251-c81f66dbb56c,SILVER,99
07b57550-457a-11e9-8d57-c81f66cf2333,BRONZE,51
07b638a0-457a-11e9-8d57-c81f66cf2333,BRONZE,56
07bf5fa0-2529-11e9-9543-c81f66cf135e,SILVER,167
07c1a600-1ff9-11e9-9a46-c81f66dbb56c,BRONZE,139
07c71ea0-a45b-11e9-b135-c81f66cf135e,GOLD,203
07cb2050-3c9f-11e9-a90e-c81f66cf135e,GOLD,198
07cda960-1ff8-11e9-9a46-c81f66dbb56c,SILVER,156
07cdd960-f731-11e9-9cc3-d2cc101b851c,DIAMOND,107
07d35d90-457a-11e9-8d57-c81f66cf2333,SILVER,169
07d40860-f2a6-11e9-8b14-c81f66cf2333,PLATINUM,106
07de7f50-2116-11e9-b719-c81f66cf2333,IRON,79
07ea5440-2118-11e9-b1c7-c81f66cf135e,BRONZE,120
07eee3b0-661a-11e9-ab51-c81f66cf135e,SILVER,91
07f03fe0-f38b-11e9-9e1e-c81f66dbb56c,SILVER,81
07f71f80-cc40-11e9-91d7-c81f66cf2333,GOLD,198
